item_id,const_name,name,name_ko,price,pocket,hold_effect,hold_effect_param,description,description_ko,item_type,field_use_func,battle_usage,battle_use_func,secondary_id,importance,registrability
0,ITEM_NONE,????????,,0,1,0,0,?????,,4,,0,,0,0,0
1,ITEM_MASTER_BALL,MASTER BALL,,0,3,0,0,The best BALL with the ultimate\nperformance. It will catch any wild\nPOKéMON without fail.,,0,,2,,0,0,0
2,ITEM_ULTRA_BALL,ULTRA BALL,,1200,3,0,0,A very high-grade BALL that offers\na higher POKéMON catch rate than\na GREAT BALL.,,1,,2,,1,0,0
3,ITEM_GREAT_BALL,GREAT BALL,,600,3,0,0,"A good, quality BALL that offers\na higher POKéMON catch rate than\na standard POKé BALL.",,2,,2,,2,0,0
4,ITEM_POKE_BALL,POKé BALL,,200,3,0,0,A BALL thrown to catch a wild\nPOKéMON. It is designed in a\ncapsule style.,,3,,2,,3,0,0
5,ITEM_SAFARI_BALL,SAFARI BALL,,0,3,0,0,A special BALL that is used only in\nthe SAFARI ZONE. It is finished in\na camouflage pattern.,,4,,2,,4,0,0
6,ITEM_NET_BALL,NET BALL,,1000,3,0,0,A somewhat different BALL that\nworks especially well on WATER- and\nBUG-type POKéMON.,,5,,2,,5,0,0
7,ITEM_DIVE_BALL,DIVE BALL,,1000,3,0,0,A somewhat different BALL that\nworks especially well on POKéMON\ndeep in the sea.,,6,,2,,6,0,0
8,ITEM_NEST_BALL,NEST BALL,,1000,3,0,0,A somewhat different BALL that\nworks especially well on weaker\nPOKéMON.,,7,,2,,7,0,0
9,ITEM_REPEAT_BALL,REPEAT BALL,,1000,3,0,0,A somewhat different BALL that\nworks especially well on POKéMON\ncaught before.,,8,,2,,8,0,0
10,ITEM_TIMER_BALL,TIMER BALL,,1000,3,0,0,A somewhat different BALL that\nbecomes progressively better the\nmore turns there are in a battle.,,9,,2,,9,0,0
11,ITEM_LUXURY_BALL,LUXURY BALL,,1000,3,0,0,A comfortable BALL that makes a\ncaptured wild POKéMON quickly grow\nfriendly.,,10,,2,,10,0,0
12,ITEM_PREMIER_BALL,PREMIER BALL,,200,3,0,0,A rare BALL that has been\nspecially made to commemorate an\nevent of some sort.,,11,,2,,11,0,0
13,ITEM_POTION,POTION,,300,1,0,20,A spray-type wound medicine.\nIt restores the HP of one POKéMON\nby 20 points.,,1,,1,,0,0,0
14,ITEM_ANTIDOTE,ANTIDOTE,,100,1,0,0,A spray-type medicine.\nIt heals one POKéMON from a\npoisoning.,,1,,1,,0,0,0
15,ITEM_BURN_HEAL,BURN HEAL,,250,1,0,0,A spray-type medicine.\nIt heals one POKéMON of a burn.,,1,,1,,0,0,0
16,ITEM_ICE_HEAL,ICE HEAL,,250,1,0,0,A spray-type medicine.\nIt defrosts a frozen POKéMON.,,1,,1,,0,0,0
17,ITEM_AWAKENING,AWAKENING,,250,1,0,0,A spray-type medicine.\nIt awakens a sleeping POKéMON.,,1,,1,,0,0,0
18,ITEM_PARALYZE_HEAL,PARLYZ HEAL,,200,1,0,0,A spray-type medicine.\nIt heals one POKéMON from\nparalysis.,,1,,1,,0,0,0
19,ITEM_FULL_RESTORE,FULL RESTORE,,3000,1,0,255,A medicine that fully restores the\nHP and heals any status problems\nof one POKéMON.,,1,,1,,0,0,0
20,ITEM_MAX_POTION,MAX POTION,,2500,1,0,255,A spray-type wound medicine.\nIt fully restores the HP of one\nPOKéMON.,,1,,1,,0,0,0
21,ITEM_HYPER_POTION,HYPER POTION,,1200,1,0,200,A spray-type wound medicine.\nIt restores the HP of one POKéMON\nby 200 points.,,1,,1,,0,0,0
22,ITEM_SUPER_POTION,SUPER POTION,,700,1,0,50,A spray-type wound medicine.\nIt restores the HP of one POKéMON\nby 50 points.,,1,,1,,0,0,0
23,ITEM_FULL_HEAL,FULL HEAL,,600,1,0,0,A spray-type medicine.\nIt heals all the status problems of\none POKéMON.,,1,,1,,0,0,0
24,ITEM_REVIVE,REVIVE,,1500,1,0,0,"A medicine that revives a fainted\nPOKéMON, restoring HP by half the\nmaximum amount.",,1,,1,,0,0,0
25,ITEM_MAX_REVIVE,MAX REVIVE,,4000,1,0,0,"A medicine that revives a fainted\nPOKéMON, restoring HP fully.",,1,,1,,0,0,0
26,ITEM_FRESH_WATER,FRESH WATER,,200,1,0,50,Water with a high mineral content.\nIt restores the HP of one POKéMON\nby 50 points.,,1,,1,,0,0,0
27,ITEM_SODA_POP,SODA POP,,300,1,0,60,A fizzy soda drink.\nIt restores the HP of one POKéMON\nby 60 points.,,1,,1,,0,0,0
28,ITEM_LEMONADE,LEMONADE,,350,1,0,80,A very sweet drink.\nIt restores the HP of one POKéMON\nby 80 points.,,1,,1,,0,0,0
29,ITEM_MOOMOO_MILK,MOOMOO MILK,,500,1,0,100,Highly nutritious milk.\nIt restores the HP of one POKéMON\nby 100 points.,,1,,1,,0,0,0
30,ITEM_ENERGY_POWDER,ENERGYPOWDER,,500,1,0,0,A very bitter medicine powder.\nIt restores the HP of one POKéMON\nby 50 points.,,1,,1,,0,0,0
31,ITEM_ENERGY_ROOT,ENERGY ROOT,,800,1,0,0,A very bitter root.\nIt restores the HP of one POKéMON\nby 200 points.,,1,,1,,0,0,0
32,ITEM_HEAL_POWDER,HEAL POWDER,,450,1,0,0,A very bitter medicine powder.\nIt heals all the status problems of\none POKéMON.,,1,,1,,0,0,0
33,ITEM_REVIVAL_HERB,REVIVAL HERB,,2800,1,0,0,"A very bitter medicinal herb.\nIt revives a fainted POKéMON,\nrestoring HP fully.",,1,,1,,0,0,0
34,ITEM_ETHER,ETHER,,1200,1,0,10,Restores a selected move's PP by\n10 points for one POKéMON.,,1,,1,,0,0,0
35,ITEM_MAX_ETHER,MAX ETHER,,2000,1,0,255,Fully restores a selected move's PP\nfor one POKéMON.,,1,,1,,0,0,0
36,ITEM_ELIXIR,ELIXIR,,3000,1,0,10,Restores the PP of all moves for\none POKéMON by 10 points each.,,1,,1,,0,0,0
37,ITEM_MAX_ELIXIR,MAX ELIXIR,,4500,1,0,255,Fully restores the PP of all moves\nfor one POKéMON.,,1,,1,,0,0,0
38,ITEM_LAVA_COOKIE,LAVA COOKIE,,200,1,0,0,LAVARIDGE TOWN's local specialty.\nIt heals all the status problems of\none POKéMON.,,1,,1,,0,0,0
39,ITEM_BLUE_FLUTE,BLUE FLUTE,,100,1,0,0,A blue glass flute that awakens\na sleeping POKéMON.,,1,,1,,0,0,0
40,ITEM_YELLOW_FLUTE,YELLOW FLUTE,,200,1,0,0,A yellow glass flute that snaps one\nPOKéMON out of confusion.,,1,,1,,0,0,0
41,ITEM_RED_FLUTE,RED FLUTE,,300,1,0,0,A red glass flute that snaps one\nPOKéMON out of infatuation.,,1,,1,,0,0,0
42,ITEM_BLACK_FLUTE,BLACK FLUTE,,400,1,0,50,"A black glass flute.\nWhen blown, it makes wild POKéMON\nless likely to appear.",,1,,0,,0,0,0
43,ITEM_WHITE_FLUTE,WHITE FLUTE,,500,1,0,150,"A white glass flute.\nWhen blown, it makes wild POKéMON\nmore likely to appear.",,1,,0,,0,0,0
44,ITEM_BERRY_JUICE,BERRY JUICE,,100,1,1,20,A 100% pure juice.\nIt restores the HP of one POKéMON\nby 20 points.,,1,,1,,0,0,0
45,ITEM_SACRED_ASH,SACRED ASH,,200,1,0,0,"Revives all fainted POKéMON,\nrestoring HP fully.",,1,,0,,0,0,0
46,ITEM_SHOAL_SALT,SHOAL SALT,,20,1,0,0,Pure salt obtained from deep inside\nthe SHOAL CAVE. It is extremely\nsalty.,,4,,0,,0,0,0
47,ITEM_SHOAL_SHELL,SHOAL SHELL,,20,1,0,0,A pretty seashell found deep inside\nthe SHOAL CAVE. It is striped in\nblue and white.,,4,,0,,0,0,0
48,ITEM_RED_SHARD,RED SHARD,,200,1,0,0,A small red shard.\nIt appears to be from some sort of\na tool made long ago.,,4,,0,,0,0,0
49,ITEM_BLUE_SHARD,BLUE SHARD,,200,1,0,0,A small blue shard.\nIt appears to be from some sort of\na tool made long ago.,,4,,0,,0,0,0
50,ITEM_YELLOW_SHARD,YELLOW SHARD,,200,1,0,0,A small yellow shard.\nIt appears to be from some sort of\na tool made long ago.,,4,,0,,0,0,0
51,ITEM_GREEN_SHARD,GREEN SHARD,,200,1,0,0,A small green shard.\nIt appears to be from some sort of\na tool made long ago.,,4,,0,,0,0,0
0,ITEM_NONE,????????,,0,1,0,0,?????,,4,,0,,0,0,0
0,ITEM_NONE,????????,,0,1,0,0,?????,,4,,0,,0,0,0
