move_id,const_name,name,name_ko
0,MOVE_NONE,-$$$$$$,
1,MOVE_POUND,POUND,
2,MOVE_KARATE_CHOP,KARATE CHOP,
3,MOVE_DOUBLE_SLAP,DOUBLESLAP,
4,MOVE_COMET_PUNCH,COMET PUNCH,
5,MOVE_MEGA_PUNCH,MEGA PUNCH,
6,MOVE_PAY_DAY,PAY DAY,
7,MOVE_FIRE_PUNCH,FIRE PUNCH,
8,MOVE_ICE_PUNCH,ICE PUNCH,
9,MOVE_THUNDER_PUNCH,THUNDERPUNCH,
10,MOVE_SCRATCH,SCRATCH,
11,MOVE_VICE_GRIP,VICEGRIP,
12,MOVE_GUILLOTINE,GUILLOTINE,
13,MOVE_RAZOR_WIND,RAZOR WIND,
14,MOVE_SWORDS_DANCE,SWORDS DANCE,
15,MOVE_CUT,CUT,
16,MOVE_GUST,GUST,
17,MOVE_WING_ATTACK,WING ATTACK,
18,MOVE_WHIRLWIND,WHIRLWIND,
19,MOVE_FLY,FLY,
20,MOVE_BIND,BIND,
21,MOVE_SLAM,SLAM,
22,MOVE_VINE_WHIP,VINE WHIP,
23,MOVE_STOMP,STOMP,
24,MOVE_DOUBLE_KICK,DOUBLE KICK,
25,MOVE_MEGA_KICK,MEGA KICK,
26,MOVE_JUMP_KICK,JUMP KICK,
27,MOVE_ROLLING_KICK,ROLLING KICK,
28,MOVE_SAND_ATTACK,SAND-ATTACK,
29,MOVE_HEADBUTT,HEADBUTT,
30,MOVE_HORN_ATTACK,HORN ATTACK,
31,MOVE_FURY_ATTACK,FURY ATTACK,
32,MOVE_HORN_DRILL,HORN DRILL,
33,MOVE_TACKLE,TACKLE,
34,MOVE_BODY_SLAM,BODY SLAM,
35,MOVE_WRAP,WRAP,
36,MOVE_TAKE_DOWN,TAKE DOWN,
37,MOVE_THRASH,THRASH,
38,MOVE_DOUBLE_EDGE,DOUBLE-EDGE,
39,MOVE_TAIL_WHIP,TAIL WHIP,
40,MOVE_POISON_STING,POISON STING,
41,MOVE_TWINEEDLE,TWINEEDLE,
42,MOVE_PIN_MISSILE,PIN MISSILE,
43,MOVE_LEER,LEER,
44,MOVE_BITE,BITE,
45,MOVE_GROWL,GROWL,
46,MOVE_ROAR,ROAR,
47,MOVE_SING,SING,
48,MOVE_SUPERSONIC,SUPERSONIC,
49,MOVE_SONIC_BOOM,SONICBOOM,
50,MOVE_DISABLE,DISABLE,
51,MOVE_ACID,ACID,
52,MOVE_EMBER,EMBER,
53,MOVE_FLAMETHROWER,FLAMETHROWER,
54,MOVE_MIST,MIST,
55,MOVE_WATER_GUN,WATER GUN,
56,MOVE_HYDRO_PUMP,HYDRO PUMP,
57,MOVE_SURF,SURF,
58,MOVE_ICE_BEAM,ICE BEAM,
59,MOVE_BLIZZARD,BLIZZARD,
60,MOVE_PSYBEAM,PSYBEAM,
61,MOVE_BUBBLE_BEAM,BUBBLEBEAM,
62,MOVE_AURORA_BEAM,AURORA BEAM,
63,MOVE_HYPER_BEAM,HYPER BEAM,
64,MOVE_PECK,PECK,
65,MOVE_DRILL_PECK,DRILL PECK,
66,MOVE_SUBMISSION,SUBMISSION,
67,MOVE_LOW_KICK,LOW KICK,
68,MOVE_COUNTER,COUNTER,
69,MOVE_SEISMIC_TOSS,SEISMIC TOSS,
70,MOVE_STRENGTH,STRENGTH,
71,MOVE_ABSORB,ABSORB,
72,MOVE_MEGA_DRAIN,MEGA DRAIN,
73,MOVE_LEECH_SEED,LEECH SEED,
74,MOVE_GROWTH,GROWTH,
75,MOVE_RAZOR_LEAF,RAZOR LEAF,
76,MOVE_SOLAR_BEAM,SOLARBEAM,
77,MOVE_POISON_POWDER,POISONPOWDER,
78,MOVE_STUN_SPORE,STUN SPORE,
79,MOVE_SLEEP_POWDER,SLEEP POWDER,
80,MOVE_PETAL_DANCE,PETAL DANCE,
81,MOVE_STRING_SHOT,STRING SHOT,
82,MOVE_DRAGON_RAGE,DRAGON RAGE,
83,MOVE_FIRE_SPIN,FIRE SPIN,
84,MOVE_THUNDER_SHOCK,THUNDERSHOCK,
85,MOVE_THUNDERBOLT,THUNDERBOLT,
86,MOVE_THUNDER_WAVE,THUNDER WAVE,
87,MOVE_THUNDER,THUNDER,
88,MOVE_ROCK_THROW,ROCK THROW,
89,MOVE_EARTHQUAKE,EARTHQUAKE,
90,MOVE_FISSURE,FISSURE,
91,MOVE_DIG,DIG,
92,MOVE_TOXIC,TOXIC,
93,MOVE_CONFUSION,CONFUSION,
94,MOVE_PSYCHIC,PSYCHIC,
95,MOVE_HYPNOSIS,HYPNOSIS,
96,MOVE_MEDITATE,MEDITATE,
97,MOVE_AGILITY,AGILITY,
98,MOVE_QUICK_ATTACK,QUICK ATTACK,
99,MOVE_RAGE,RAGE,
100,MOVE_TELEPORT,TELEPORT,
101,MOVE_NIGHT_SHADE,NIGHT SHADE,
102,MOVE_MIMIC,MIMIC,
103,MOVE_SCREECH,SCREECH,
104,MOVE_DOUBLE_TEAM,DOUBLE TEAM,
105,MOVE_RECOVER,RECOVER,
106,MOVE_HARDEN,HARDEN,
107,MOVE_MINIMIZE,MINIMIZE,
108,MOVE_SMOKESCREEN,SMOKESCREEN,
109,MOVE_CONFUSE_RAY,CONFUSE RAY,
110,MOVE_WITHDRAW,WITHDRAW,
111,MOVE_DEFENSE_CURL,DEFENSE CURL,
112,MOVE_BARRIER,BARRIER,
113,MOVE_LIGHT_SCREEN,LIGHT SCREEN,
114,MOVE_HAZE,HAZE,
115,MOVE_REFLECT,REFLECT,
116,MOVE_FOCUS_ENERGY,FOCUS ENERGY,
117,MOVE_BIDE,BIDE,
118,MOVE_METRONOME,METRONOME,
119,MOVE_MIRROR_MOVE,MIRROR MOVE,
120,MOVE_SELF_DESTRUCT,SELFDESTRUCT,
121,MOVE_EGG_BOMB,EGG BOMB,
122,MOVE_LICK,LICK,
123,MOVE_SMOG,SMOG,
124,MOVE_SLUDGE,SLUDGE,
125,MOVE_BONE_CLUB,BONE CLUB,
126,MOVE_FIRE_BLAST,FIRE BLAST,
127,MOVE_WATERFALL,WATERFALL,
128,MOVE_CLAMP,CLAMP,
129,MOVE_SWIFT,SWIFT,
130,MOVE_SKULL_BASH,SKULL BASH,
131,MOVE_SPIKE_CANNON,SPIKE CANNON,
132,MOVE_CONSTRICT,CONSTRICT,
133,MOVE_AMNESIA,AMNESIA,
134,MOVE_KINESIS,KINESIS,
135,MOVE_SOFT_BOILED,SOFTBOILED,
136,MOVE_HI_JUMP_KICK,HI JUMP KICK,
137,MOVE_GLARE,GLARE,
