species_id,const_name,name,name_ko
0,SPECIES_NONE,??????????,
1,SPECIES_BULBASAUR,BULBASAUR,
2,SPECIES_IVYSAUR,IVYSAUR,
3,SPECIES_VENUSAUR,VENUSAUR,
4,SPECIES_CHARMANDER,CHARMANDER,
5,SPECIES_CHARMELEON,CHARMELEON,
6,SPECIES_CHARIZARD,CHARIZARD,
7,SPECIES_SQUIRTLE,SQUIRTLE,
8,SPECIES_WARTORTLE,WARTORTLE,
9,SPECIES_BLASTOISE,BLASTOISE,
10,SPECIES_CATERPIE,CATERPIE,
11,SPECIES_METAPOD,METAPOD,
12,SPECIES_BUTTERFREE,BUTTERFREE,
13,SPECIES_WEEDLE,WEEDLE,
14,SPECIES_KAKUNA,KAKUNA,
15,SPECIES_BEEDRILL,BEEDRILL,
16,SPECIES_PIDGEY,PIDGEY,
17,SPECIES_PIDGEOTTO,PIDGEOTTO,
18,SPECIES_PIDGEOT,PIDGEOT,
19,SPECIES_RATTATA,RATTATA,
20,SPECIES_RATICATE,RATICATE,
21,SPECIES_SPEAROW,SPEAROW,
22,SPECIES_FEAROW,FEAROW,
23,SPECIES_EKANS,EKANS,
24,SPECIES_ARBOK,ARBOK,
25,SPECIES_PIKACHU,PIKACHU,
26,SPECIES_RAICHU,RAICHU,
27,SPECIES_SANDSHREW,SANDSHREW,
28,SPECIES_SANDSLASH,SANDSLASH,
29,SPECIES_NIDORAN_F,NIDORAN♀,
30,SPECIES_NIDORINA,NIDORINA,
31,SPECIES_NIDOQUEEN,NIDOQUEEN,
32,SPECIES_NIDORAN_M,NIDORAN♂,
33,SPECIES_NIDORINO,NIDORINO,
34,SPECIES_NIDOKING,NIDOKING,
35,SPECIES_CLEFAIRY,CLEFAIRY,
36,SPECIES_CLEFABLE,CLEFABLE,
37,SPECIES_VULPIX,VULPIX,
38,SPECIES_NINETALES,NINETALES,
39,SPECIES_JIGGLYPUFF,JIGGLYPUFF,
40,SPECIES_WIGGLYTUFF,WIGGLYTUFF,
41,SPECIES_ZUBAT,ZUBAT,
42,SPECIES_GOLBAT,GOLBAT,
43,SPECIES_ODDISH,ODDISH,
44,SPECIES_GLOOM,GLOOM,
45,SPECIES_VILEPLUME,VILEPLUME,
46,SPECIES_PARAS,PARAS,
47,SPECIES_PARASECT,PARASECT,
48,SPECIES_VENONAT,VENONAT,
49,SPECIES_VENOMOTH,VENOMOTH,
50,SPECIES_DIGLETT,DIGLETT,
51,SPECIES_DUGTRIO,DUGTRIO,
52,SPECIES_MEOWTH,MEOWTH,
53,SPECIES_PERSIAN,PERSIAN,
54,SPECIES_PSYDUCK,PSYDUCK,
55,SPECIES_GOLDUCK,GOLDUCK,
56,SPECIES_MANKEY,MANKEY,
57,SPECIES_PRIMEAPE,PRIMEAPE,
58,SPECIES_GROWLITHE,GROWLITHE,
59,SPECIES_ARCANINE,ARCANINE,
60,SPECIES_POLIWAG,POLIWAG,
61,SPECIES_POLIWHIRL,POLIWHIRL,
62,SPECIES_POLIWRATH,POLIWRATH,
63,SPECIES_ABRA,ABRA,
64,SPECIES_KADABRA,KADABRA,
65,SPECIES_ALAKAZAM,ALAKAZAM,
66,SPECIES_MACHOP,MACHOP,
67,SPECIES_MACHOKE,MACHOKE,
68,SPECIES_MACHAMP,MACHAMP,
69,SPECIES_BELLSPROUT,BELLSPROUT,
70,SPECIES_WEEPINBELL,WEEPINBELL,
71,SPECIES_VICTREEBEL,VICTREEBEL,
72,SPECIES_TENTACOOL,TENTACOOL,
73,SPECIES_TENTACRUEL,TENTACRUEL,
74,SPECIES_GEODUDE,GEODUDE,
75,SPECIES_GRAVELER,GRAVELER,
76,SPECIES_GOLEM,GOLEM,
77,SPECIES_PONYTA,PONYTA,
78,SPECIES_RAPIDASH,RAPIDASH,
79,SPECIES_SLOWPOKE,SLOWPOKE,
80,SPECIES_SLOWBRO,SLOWBRO,
81,SPECIES_MAGNEMITE,MAGNEMITE,
82,SPECIES_MAGNETON,MAGNETON,
83,SPECIES_FARFETCHD,FARFETCH'D,
84,SPECIES_DODUO,DODUO,
85,SPECIES_DODRIO,DODRIO,
86,SPECIES_SEEL,SEEL,
87,SPECIES_DEWGONG,DEWGONG,
88,SPECIES_GRIMER,GRIMER,
89,SPECIES_MUK,MUK,
90,SPECIES_SHELLDER,SHELLDER,
91,SPECIES_CLOYSTER,CLOYSTER,
92,SPECIES_GASTLY,GASTLY,
93,SPECIES_HAUNTER,HAUNTER,
94,SPECIES_GENGAR,GENGAR,
95,SPECIES_ONIX,ONIX,
96,SPECIES_DROWZEE,DROWZEE,
97,SPECIES_HYPNO,HYPNO,
98,SPECIES_KRABBY,KRABBY,
99,SPECIES_KINGLER,KINGLER,
100,SPECIES_VOLTORB,VOLTORB,
101,SPECIES_ELECTRODE,ELECTRODE,
102,SPECIES_EXEGGCUTE,EXEGGCUTE,
103,SPECIES_EXEGGUTOR,EXEGGUTOR,
104,SPECIES_CUBONE,CUBONE,
105,SPECIES_MAROWAK,MAROWAK,
106,SPECIES_HITMONLEE,HITMONLEE,
107,SPECIES_HITMONCHAN,HITMONCHAN,
108,SPECIES_LICKITUNG,LICKITUNG,
109,SPECIES_KOFFING,KOFFING,
110,SPECIES_WEEZING,WEEZING,
111,SPECIES_RHYHORN,RHYHORN,
112,SPECIES_RHYDON,RHYDON,
113,SPECIES_CHANSEY,CHANSEY,
114,SPECIES_TANGELA,TANGELA,
115,SPECIES_KANGASKHAN,KANGASKHAN,
116,SPECIES_HORSEA,HORSEA,
117,SPECIES_SEADRA,SEADRA,
118,SPECIES_GOLDEEN,GOLDEEN,
119,SPECIES_SEAKING,SEAKING,
120,SPECIES_STARYU,STARYU,
121,SPECIES_STARMIE,STARMIE,
