Part,Tool,Cavity,Date,라벨,"FAI 1 / SPC A"
"Memphis IR BASE",A,1CAV,2026-02-01,"Data 1",0.0218
"Memphis IR BASE",A,1CAV,2026-02-01,"Data 2",0.0186
"Memphis IR BASE",A,1CAV,2026-02-01,"Data 3",0.0206
"Memphis IR BASE",A,2CAV,2026-02-01,"Data 1",0.014
"Memphis IR BASE",A,2CAV,2026-02-01,"Data 2",0.0165
"Memphis IR BASE",A,2CAV,2026-02-01,"Data 3",0.0167
"Memphis IR BASE",A,3CAV,2026-02-01,"Data 1",0.0215
"Memphis IR BASE",A,3CAV,2026-02-01,"Data 2",0.0209
"Memphis IR BASE",A,3CAV,2026-02-01,"Data 3",0.0168
"Memphis IR BASE",A,4CAV,2026-02-01,"Data 1",0.0133
"Memphis IR BASE",A,4CAV,2026-02-01,"Data 2",0.0155
"Memphis IR BASE",A,4CAV,2026-02-01,"Data 3",0.0143
"Memphis IR BASE",A,1CAV,2026-02-02,"Data 1",0.0153
"Memphis IR BASE",A,1CAV,2026-02-02,"Data 2",0.016
"Memphis IR BASE",A,1CAV,2026-02-02,"Data 3",0.0118
"Memphis IR BASE",A,2CAV,2026-02-02,"Data 1",0.016
"Memphis IR BASE",A,2CAV,2026-02-02,"Data 2",0.0165
"Memphis IR BASE",A,2CAV,2026-02-02,"Data 3",0.0149
"Memphis IR BASE",A,3CAV,2026-02-02,"Data 1",0.0228
"Memphis IR BASE",A,3CAV,2026-02-02,"Data 2",0.0255
"Memphis IR BASE",A,3CAV,2026-02-02,"Data 3",0.0228
"Memphis IR BASE",A,4CAV,2026-02-02,"Data 1",0.0188
"Memphis IR BASE",A,4CAV,2026-02-02,"Data 2",0.0177
"Memphis IR BASE",A,4CAV,2026-02-02,"Data 3",0.0121
"Memphis IR BASE",A,1CAV,2026-02-03,"Data 1",0.0147
"Memphis IR BASE",A,1CAV,2026-02-03,"Data 2",0.0104
"Memphis IR BASE",A,1CAV,2026-02-03,"Data 3",0.0158
"Memphis IR BASE",A,2CAV,2026-02-03,"Data 1",0.0125
"Memphis IR BASE",A,2CAV,2026-02-03,"Data 2",0.0132
"Memphis IR BASE",A,2CAV,2026-02-03,"Data 3",0.0135
"Memphis IR BASE",A,3CAV,2026-02-03,"Data 1",0.0146
"Memphis IR BASE",A,3CAV,2026-02-03,"Data 2",0.0184
"Memphis IR BASE",A,3CAV,2026-02-03,"Data 3",0.0121
"Memphis IR BASE",A,4CAV,2026-02-03,"Data 1",0.0159
"Memphis IR BASE",A,4CAV,2026-02-03,"Data 2",0.0152
"Memphis IR BASE",A,4CAV,2026-02-03,"Data 3",0.0127
"Memphis IR BASE",A,1CAV,2026-02-04,"Data 1",0.0162
"Memphis IR BASE",A,1CAV,2026-02-04,"Data 2",0.0147
"Memphis IR BASE",A,1CAV,2026-02-04,"Data 3",0.014
